date,bored_apes_1,cool_cats_1,dollar_price,bored_apes_2,cool_cats_2
2021-12-16,1.909178723404256,1.3489466666666667,3962.469727,7565.062894921872,5345.160330004227
2021-12-17,2.353792105263158,2.961556521739131,3879.486572,9131.504865648032,11489.318758305984
2021-12-18,2.776194117647059,1.747142857142857,3960.860107,10996.1165298763,6920.188444087143
2021-12-19,3.4810000000000003,2.4604444444444447,3922.592529,13654.544593449002,9651.320995797334
2021-12-20,2.2094117647058824,2.6248333333333336,3933.844482,8691.482279054118,10325.686124503001
2021-12-21,1.644,2.7299375,4020.26001,6609.307456439999,10975.058561049376
2021-12-22,1.5434565217391305,2.483328571428572,3982.099609,6146.197611725891,9888.861733304246
2021-12-23,2.158114705882353,3.4455697674418606,4108.015625,8865.568932306986,14154.45444167878
2021-12-24,2.1657777777777776,3.463667205,4047.98291,8767.031431302223,14020.865651767468
2021-12-25,2.6319909090909093,3.7011661359223305,4093.281006,10773.478396146493,15149.91304422129
2021-12-26,2.74115,4.939014929146128,4067.328125,11149.15648984375,20088.59433111093
2021-12-27,4.350982385964913,4.821976912855255,4037.547607,17567.298520551783,19468.96134550798
2021-12-28,2.723444444444445,3.8474196078431375,3800.893066,10351.521104525113,14623.630509443421
2021-12-29,3.314896666666667,4.0727166666666665,3628.531738,12028.207763190409,14777.981684881566
2021-12-30,1.9741135483870969,4.211223076923076,3713.852051,7331.565650584307,15639.859461449298
2021-12-31,2.645768852459016,3.935532558139535,3682.632813,9743.395191678928,14493.121335234482
2022-01-01,2.0594142857142854,5.49963394205252,3769.697021,7763.367897861985,20731.95368794587
2022-01-02,3.833492105263158,6.46969358635254,3829.564941,14680.606967916072,24776.111737308245
2022-01-03,4.063102777777778,7.401095545801526,3761.380371,15282.87503368891,27838.335509873395
2022-01-04,4.1324146341463415,5.77571975308642,3794.056641,15678.615186048513,21913.407885752415
2022-01-05,3.253389285714285,5.554041184933541,3550.386963,11550.79090556388,19718.995414953115
2022-01-06,3.97172,5.612468181818182,3418.408203,13576.96022801916,19185.707271803767
2022-01-07,2.501615384615385,5.525835483870968,3193.210449,7988.184385533002,17645.155606551747
2022-01-08,3.114576923076923,4.232088888888889,3091.972656,9630.18668116246,13085.503122205866
2022-01-09,3.0618950000000003,5.359067391304348,3157.751465,9668.703421926175,16922.602905925032
2022-01-10,2.761928571428572,6.336165909090909,3083.0979,8515.296178521432,19535.019808369772
2022-01-11,2.5028571428571427,5.690554761904762,3238.111572,8104.53067734857,18426.651225623515
2022-01-12,3.62716,5.597327586206896,3372.258301,12231.720419055158,18875.6344160025
2022-01-13,3.030903225806452,4.439130434782609,3248.288574,9845.248317286841,14419.5766698
